,terminal_group_1,terminal_group_2,terminal_group_3,backbone,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,frac-1,frac-2,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min
5828,phenyl,perfluoromethyl,cyano,alkylsilane,0.10109057533333334,16.3705,11.287,0.6101690352,0.2203871975,3.701649,3.552734,148.62136675,75.774438,17,7.344578999999999,5.207107,6.382080249999999,4.447214,2.13208025,1.447214,3.7616865,2.56066,3.00354025,1.973607,0.87854025,0.4736070000000001,0.43034125,0.111803,0.43034125,0.111803,0.125,0.0,0.125,0.0,0.0625,0.0,0.0625,0.0,25.0,16.0,0.9293273632,0.8586547265000001,0.5,0.5,0.0,-0.5025000000000001,-0.51,0.7786412500000001,0.161141,0.933548,0.49,4.24319525,-4.470784,0.7986295426333333,320.368269,12.164797,1640.9700891315,0.008391616000000001,33.568796999999996,23.711683999999998,1.155845,0.52988,60.28775,38.029,64.53359575,41.026548999999996,4.5,3.0,0.2559589108,1.6376e-05,0.7663581125000002,0.5327326010000001,0.120929446,0.0,34.205827543000005,0.00018712100000000005,41.294536637,11.412437724,73.3515452972,11.412624869000002,0.25,0.0,0.9980134698,0.649821689,0.37479075,0.295557,0.62264975,0.2452995,0.199314872,0.0,11.895,0.0,15.543328500000001,14.053267999999996,16.5806165,5.261892,0.94906025,0.8981205,0.42548225,0.23600900000000002,0.0,0.0,0.57451775,0.3850445,0.05093975,0.0,30.57987025,22.295281,1.54407475,0.0,0.0,0.0,0.05093975,0.0
3464,isopropyl,pyrrole,nitrophenyl,alkylsilane,0.11964789810000001,30.427125,23.02085,0.3891057925,0.32118033100000004,4.139329,3.773039,352.4171045,237.863028,17,12.367413750000004,11.1933755,11.3686585,10.973607000000001,3.6186585,2.473607,6.6717407500000006,5.7573715000000005,5.5804842500000005,5.3222135,1.718681,1.098607,1.039662,0.598607,1.039662,0.598607,0.498316,0.202254,0.498316,0.202254,0.24833325000000006,0.0994775,0.24833325000000006,0.0994775,40.5,29.0,0.9447044898,0.9179881865,0.5,0.5,2.0,-0.87,-1.38,1.212059,0.327341,1.8623667500000003,1.4653995000000002,0.699757,0.146682,1.6125531118999998,1654.6761854999993,422.36510299999986,0.0177914045,0.0060664510000000005,56.3375915,44.391069,1.6979650000000002,1.49271,95.5675,61.053000000000004,103.30786374999998,69.5680495,7.5,5.0,0.308507021,0.237330347,0.7292865465,0.69590344,0.1322201975,9.116e-06,80.5168738318,35.2932092555,230.3334926802,56.544449559499995,308.3913606175,86.91964710799999,1.25,0.5,1.6705679015,1.2665515440000001,0.306607,0.23549199999999995,0.43917700000000004,0.3627900000000001,0.1196898765,0.0,25.5175,7.895,24.94812275,17.605401500000003,29.898091250000004,25.1816835,0.8545137500000001,0.7638199999999999,0.55498,0.517365,0.10298325,0.054792499999999994,0.44501999999999997,0.407405,0.042502999999999985,0.0,45.70111125,40.2985835,2.843693,0.0,6.30140975,2.4885015,0.14548625,0.054792499999999994
3439,isopropyl,phenyl,fluorophenyl,alkylsilane,0.10594621259999999,28.49125,25.8455,0.3426999352,0.3209780055,4.1462335,3.680736,325.14273575,270.5101395,17,11.9730765,11.964102,11.313982000000001,10.877964,3.3139819999999998,2.75,6.4440695,6.212713,5.5944910000000005,5.438982,1.5944909999999999,1.25,0.938241,0.6875,0.938241,0.6875,0.4222455,0.25,0.4222455,0.25,0.211123,0.125,0.211123,0.125,36.5,31.0,0.9344559942,0.9165210835,0.5,0.5,0.0,-0.62,-0.85,0.87061675,0.4292155,1.76892575,1.734967,0.64538825,0.2911995,1.38483811925,1004.8981949999999,773.958967,0.017811257,0.008005090999999999,53.12830975,48.4599455,1.98139,1.82866,84.56775,66.0605,92.5618015,75.070425,6.75,5.5,0.34356013770000005,0.304806836,0.6942334298,0.6932736955000001,0.13221923400000002,6.777000000000001e-06,69.2577748953,51.6360590625,135.5661045048,72.9512537935,202.36487354419998,119.66930115049999,0.75,0.5,1.5494992457,1.3767499515000001,0.202897,0.140534,0.32894450000000003,0.210456,0.1196898765,0.0,0.0,0.0,13.87467925,12.3368275,37.75698475,34.538535499999995,0.9610695,0.922139,0.7268439999999999,0.7266699999999999,0.0389305,0.0,0.273156,0.272982,0.0,0.0,49.4364565,46.875363,0.0,0.0,2.1952075,0.0,0.0389305,0.0
4470,nitro,phenol,pyrrole,alkylsilane,0.11417134153333335,24.2054,22.8811,0.4031834722,0.25073682199999997,3.6002400000000003,3.4685120000000005,275.01542875,239.8982645,17,9.880515,9.374279,9.1415965,8.335979,2.8915965,2.835979,5.421573249999999,5.0784035,4.43499525,3.9755635000000002,1.35932675,1.2714395,0.7764154999999999,0.730617,0.7764154999999999,0.730617,0.3527695,0.301031,0.3527695,0.301031,0.17473525,0.1505155,0.17473525,0.1505155,32.5,32.0,0.9240690448,0.8744877270000001,0.5,0.5,1.5,-0.755,-0.79,1.1298445,0.534682,1.2269485,0.930799,0.72894675,0.293364,2.3368866636333334,791.9089594999999,532.6496950000001,0.06195877120000001,0.009765255,45.33021575,43.7620755,1.0599399999999999,0.79676,76.554,74.062,82.79739775,81.057849,6.0,6.0,0.34222145600000003,0.19942380199999998,0.6589201655,0.51498089,0.0295402275,6.0989999999999995e-06,49.070597019,45.39499126000001,87.425510378,56.005187064000005,136.174612435,108.751389844,1.25,1.0,1.318185209,1.273161564,0.36325425,0.34794200000000003,0.67810025,0.5887184999999999,0.0055793628,0.0,23.7375,15.79,18.9484675,16.393718,24.90890275,23.913733,0.82045925,0.7505035000000001,0.53832475,0.5265380000000001,0.17342125,0.10958499999999999,0.46167525,0.4498885,0.0061195,0.0,37.20528725,33.9706275,0.35779999999999995,0.0,6.294283,4.977003,0.17954075,0.10958499999999999
3909,methyl,cyano,pyrrole,alkylsilane,0.1214946438,18.4236,11.3175,0.3755485315,0.25073682199999997,3.6275375,3.4685120000000005,189.38734975,68.6421065,17,8.24515225,6.1035535,7.835410499999999,5.723607,2.0854105,1.223607,4.3350365,2.9053299999999997,3.75311525,2.6118035,0.90450875,0.3618035,0.43905775,0.0559015,0.43905775,0.0559015,0.202254,0.0,0.202254,0.0,0.0994775,0.0,0.0994775,0.0,23.5,15.0,0.7597801015000001,0.6450724760000001,0.5,0.5,1.0,-0.4875,-0.72,0.30762625,0.0805705,0.5878995,0.245,-0.971014,-2.235392,1.6849872781,274.6925615,16.735428,820.5642091617999,0.009765255,35.260603,23.62285,1.0505799999999998,0.7780400000000001,52.54375,31.0255,58.29729925,35.5367495,4.25,2.5,0.481531846,0.4780445820000001,0.7525593432000001,0.51498089,0.11241181550000001,6.0989999999999995e-06,27.1753777058,1.6045526335,31.678267378,7.351347692,58.0680212825,7.384652721,0.75,0.5,0.9375926078,0.6020236515,0.289527,0.231112,0.758741,0.75,0.2391197362,0.0,13.8425,11.895,17.0660935,12.628969999999999,16.6982855,9.482838000000001,0.9452075000000001,0.890415,0.478505,0.430472,0.054792499999999994,0.0,0.5214949999999999,0.473462,0.0,0.0,31.275877500000004,22.111808,0.0,0.0,2.4885015,0.0,0.054792499999999994,0.0
1828,difluoromethyl,cyclopropyl,cyano,alkylsilane,0.10851813126666666,13.1625,11.287,0.663653436,0.327355999,3.55414875,3.552734,104.03910025,75.774438,17,6.8535535,5.207107,6.16258925,4.447214,1.66258925,1.447214,3.3428300000000006,2.56066,2.8937945,1.973607,0.6437944999999999,0.4736070000000001,0.27725425,0.111803,0.27725425,0.111803,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,20.5,16.0,0.94156755,0.8831351000000001,0.5,0.5,0.0,-0.29,-0.51,0.28362625,0.161141,0.7655554999999999,0.49,-1.7703919999999997,-4.470784,0.6132871681000001,75.02343125,12.164797,1640.9932457403,0.054704833499999994,28.636631000000005,23.711683999999998,0.936865,0.52988,46.53,38.029,51.03595125,41.026548999999996,3.5,3.0,0.2013744202,1.6376e-05,0.8779185948,0.7558535655000002,0.25214838300000003,0.0,8.7995671785,0.00018712100000000005,24.484825713699998,11.412437724,29.881441769000002,11.412624869000002,0.5,0.0,0.8485263690000001,0.649821689,0.322265,0.295557,0.6991964999999999,0.398393,0.3850616003,0.0,11.895,0.0,14.229344250000002,11.4252995,12.9120515,5.261892,0.8620654999999999,0.7241310000000001,0.434834,0.23600900000000002,0.07977575,0.0,0.565166,0.366341,0.058159,0.0,23.34581425,22.295281,1.6003739999999995,0.0,2.1952075,0.0,0.13793450000000002,0.0
3800,methoxy,pyrrole,cyano,alkylsilane,0.11109729270000003,15.259175,11.287,0.6948769631999999,0.3898030535,3.5800995,3.5527339999999996,134.47322549999998,75.774438,17,7.127018,5.207107,6.5624725,4.447214,1.8124725,1.447214,3.6482925,2.56066,3.06247225,1.973607,0.700669,0.47360699999999994,0.2869705,0.111803,0.2869705,0.111803,0.101127,0.0,0.101127,0.0,0.04973875,0.0,0.04973875,0.0,21.0,16.0,0.9637260012,0.9274520025,0.5,0.5,1.0,-0.445,-0.51,0.23259699999999997,0.161141,0.71769975,0.49,-8.922051,-13.373318,1.33819071095,146.1037575,12.164797,1641.0278962907998,0.1240059345,30.74232125,23.711684,0.66137,0.52988,47.53525,38.029,52.288203,41.026548999999996,3.75,3.0,0.1704827477,1.6376e-05,0.8696110602,0.7392384965000001,0.0867484205,0.0,14.1983850758,0.00018712099999999997,24.658710455700003,11.412437724,38.0330000365,11.412624869000002,0.75,0.0,0.851308865,0.649821689,0.26889525000000003,0.2422335,0.9418705,0.883741,0.140233054,0.0,18.15,12.51,19.46761275,17.033389,9.793595,5.261892,0.9288045,0.8576090000000001,0.29343825,0.23600900000000002,0.07119550000000001,0.0,0.70656175,0.6491325,0.0,0.0,26.83274125,22.295281,0.0,0.0,2.4284665000000003,0.0,0.07119550000000001,0.0
5979,pyrrole,difluoromethyl,carboxyl,alkylsilane,0.11811064805,15.956825,13.3098,0.5209158692,0.3988894715,3.7839150000000004,3.744452,141.63886475,94.701658,17,7.73891625,6.784457000000001,6.83403425,5.816497,2.08403425,1.816497,3.99437575,3.48138,3.16384625,2.566497,0.8479184999999999,0.6582479999999999,0.41438475,0.287457,0.41438475,0.287457,0.101127,0.0,0.101127,0.0,0.04973875,0.0,0.04973875,0.0,26.5,24.0,0.959554689,0.928701965,0.5,0.5,2.0,-0.48,-0.53,0.52132625,0.443274,1.43269975,1.3953995000000001,1.273341,1.076682,1.2243904742999998,156.3126265,35.647376,0.08644867279999999,0.046694865499999995,33.871626,29.766501,0.69408,0.0909,62.03,56.02,66.7820535,60.021129,4.5,4.0,0.2361631505,0.137858338,0.7883224333000001,0.6944485085000001,0.1751804775,0.15909481,19.3110250763,7.01852079,48.909327322799996,44.95084,66.8876141092,50.948936106000005,1.0,1.0,1.112174446,1.057355523,0.42945150000000004,0.408148,0.64365975,0.6316425,0.2353120402,0.078576664,22.5975,7.895,17.5292735,16.693873999999997,14.83828625,9.903345,0.52860175,0.387865,0.4488295,0.350337,0.2823405,0.214344,0.5511705,0.452678,0.189058,0.116318,18.6758025,10.964167999999999,5.3006265,3.200748,8.39113075,6.878916499999999,0.47139825,0.3306615
2364,ethylene,phenol,carboxyl,alkylsilane,0.11326935716666665,18.8336,13.3098,0.5527935252,0.4626447835,3.9297725,3.823378,177.37563675,94.701658,17,8.47370575,6.784457000000001,7.760310499999999,5.816497000000001,2.2603105,1.816497,4.5075625,3.48138,3.6238415,2.566497,0.942655,0.6582479999999999,0.47600950000000003,0.287457,0.47600950000000003,0.287457,0.1505155,0.0,0.1505155,0.0,0.07525775,0.0,0.07525775,0.0,27.0,24.0,0.979181307,0.967955201,0.5,0.5,3.0,-0.5750000000000001,-0.62,0.4947427500000001,0.443274,1.331549,1.193098,-0.55927375,-2.5885475,3.893011785566666,551.65383625,35.647376,0.12415454880000001,0.1221066175,37.1648425,29.766501,0.7686800000000001,0.09090000000000002,62.03725,56.02,67.53668075,60.021129,4.75,4.0,0.1897773095,0.137858338,0.8213916613000002,0.7605869645000002,0.1090869958,0.0590791815,26.0429847025,7.01852079,75.6575757297,44.95084,100.8688531178,50.948936106000005,1.25,1.0,1.1720880228,1.057355523,0.35949475000000003,0.3108415,0.60245325,0.5492294999999999,0.0448676972,0.0111587305,23.7075,10.115,15.432479999999998,12.500287,20.23388,9.903345,0.6659692500000001,0.387865,0.5291020000000001,0.35033699999999995,0.19701225,0.0436875,0.470898,0.292133,0.1370185,0.012239,25.379432999999995,10.964167999999999,4.0580525000000005,0.7155999999999999,6.2288745,2.554404,0.33403075,0.0559265
737,carboxyl,carboxyl,cyano,alkylsilane,0.11219179602,12.2984,11.287,0.82144657,0.642942267,3.688056,3.5527339999999996,85.23804799999999,75.774438,17,5.995782,5.207107,5.1318555,4.447214,1.6318555000000001,1.447214,3.02102,2.56066,2.270052,1.973607,0.5659274999999999,0.47360699999999994,0.19963000000000006,0.111803,0.19963000000000006,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,0.9952037065,0.990407413,0.5,0.5,1.0,-0.52,-0.53,0.3022075,0.161141,0.98,0.4900000000000001,-1.500392,-4.470784,6.25093818412,23.9060865,12.164797,1641.0289945635,0.12620248,26.7390925,23.711684,0.31039,0.0909,47.0245,38.029,50.523839,41.026548999999996,3.5,3.0,0.068937357,1.6376e-05,0.941089991,0.8821963580000001,0.079547405,0.0,3.5093539555,0.00018712099999999997,28.181638862,11.412437724,31.1807804875,11.412624869000002,0.5,0.0,0.8535886060000001,0.649821689,0.3518525,0.295557,0.8278385,0.6556770000000001,0.039288332,0.0,30.545000000000005,23.79,17.699031,17.033389,7.5826185,5.261892,0.6939325,0.387865,0.293173,0.23600900000000002,0.1751685,0.0,0.7068270000000001,0.649663,0.130899,0.0,16.629724500000002,10.964167999999999,3.7002525,0.0,4.9516725,0.0,0.3060675,0.0
