,C(=O)C,CC(=O)C,N,CN,C(=O)O,CC(=O)O,C#N,CC#N,C1CC1,CC1CC1,FCF,FC(F)C,C=C,CC=C,C1=CC=C(F)C=C1,CC1=CC=C(F)C=C1,O,CO,C(C)C,CC(C)C,OC,COC,C,CC,[N+](=O)[O-],C[N+](=O)[O-],C1=CC=C([N+](=O)[O-])C=C1,CC1=CC=C([N+](=O)[O-])C=C1,C(F)(F)F,CC(F)(F)F,c1ccc(cc1)O,Cc1ccc(cc1)O,C1=CC=CC=C1,CC1=CC=CC=C1,C1=CNC=C1,C1=C(C)NC=C1,Cc1ccccc1,Cc1ccc(C)cc1
molwt,44.02621499999998,58.04186500000003,17.026548999999992,31.042198999999993,46.005479,60.02112899999998,27.010899,41.026548999999996,42.046949999999995,56.06259999999998,52.01245700000001,66.02810699999999,28.03129999999999,42.046949999999995,96.03752800000002,110.05317800000003,18.010564999999993,32.026214999999986,44.06259999999999,58.07825000000001,32.026214999999986,46.041865000000016,16.031299999999995,30.04694999999999,45.99290299999999,61.016378000000024,123.03202800000003,137.04767799999996,70.00303499999998,84.01868499999999,94.04186499999999,108.05751499999998,78.04695,92.06259999999999,67.042199,81.05784900000002,92.06259999999999,106.07825000000001
molwt-hvy,40.021,52.03200000000001,14.007000000000003,26.018000000000008,44.00900000000001,56.01999999999999,26.018000000000008,38.029,36.03300000000001,48.04399999999998,50.006999999999984,62.01800000000002,24.02199999999999,36.03300000000001,91.06400000000002,103.07500000000003,15.998999999999999,28.009999999999994,36.03300000000001,48.04399999999998,28.009999999999994,40.021,12.010999999999996,24.02199999999999,46.00500000000001,58.015999999999984,118.07099999999997,130.08199999999994,69.005,81.016,88.06500000000003,100.076,72.06600000000002,84.077,62.051000000000016,74.06199999999998,84.077,96.08799999999997
e-valence,18.0,24.0,8.0,14.0,18.0,24.0,10.0,16.0,18.0,24.0,20.0,26.0,12.0,18.0,36.0,42.0,8.0,14.0,20.0,26.0,14.0,20.0,8.0,14.0,17.0,24.0,46.0,52.0,26.0,32.0,36.0,42.0,30.0,36.0,26.0,32.0,36.0,42.0
balabanj,3.7911179999999995,4.398991,2.32379,3.541196999999998,2.847379000000001,3.823377999999998,2.4755340000000006,3.5527340000000005,2.913119000000001,3.0907350000000005,3.023716,4.020392000000001,3.675949000000001,4.399515999999999,3.6035669999999986,3.680736000000002,1.6329929999999993,3.168489999999999,4.748409,5.542726000000002,3.168489999999999,3.7464179999999994,3.023716,4.020392000000001,2.187496,3.7911179999999995,3.682462999999999,3.773038999999999,3.023716,4.020392000000001,3.563758,3.6728180000000004,3.6035669999999986,3.680736000000002,3.436146000000001,3.4685119999999987,3.680736000000002,3.785533999999999
bertzct,82.18080899999998,124.05236800000004,8.0,53.590719000000014,42.91260899999999,94.70165799999997,26.264662999999985,75.77443799999999,105.85263800000001,197.58797499999994,23.119415,67.01955,55.61727099999999,125.72862400000001,230.2032250000001,379.7753320000001,2.7548880000000002,37.302969,120.39660999999998,165.593463,37.302969,76.21143299999996,19.119415,61.509775,10.264663,85.42592199999997,390.16827000000006,466.971181,22.364528000000007,67.509775,320.463093,394.3706069999999,226.3030899999999,375.42681600000003,184.79770599999998,310.132593,375.42681600000003,406.116876
ipc,17.086166,63.57980799999999,3.2451119999999998,17.086166,9.651484,35.647375999999994,2.7548880000000002,12.164796999999995,69.83326999999998,254.45807199999993,3.6096399999999993,21.306059,13.609640000000006,50.07031099999999,416.3143650000001,1235.8374230000004,2.7548880000000002,12.164796999999995,88.55198199999997,312.08051100000006,12.164796999999995,27.435741,3.6096399999999993,21.306059,2.7548880000000002,17.086166,971.5503879999998,2886.9872679999994,3.6096399999999993,21.306059,701.8677370000001,2085.2502820000004,416.3143650000001,1235.8374230000004,174.10266599999997,532.649695,1235.8374230000004,3673.145375
hk-alpha,-0.33,-0.33,-0.04,-0.04,-0.5300000000000002,-0.5300000000000002,-0.5099999999999999,-0.5099999999999999,0.0,0.0,-0.14000000000000007,-0.14000000000000007,-0.2599999999999999,-0.2599999999999999,-0.8499999999999998,-0.8499999999999998,-0.04,-0.04,0.0,0.0,-0.04,-0.04,0.0,0.0,-0.5999999999999998,-0.5999999999999998,-1.3799999999999994,-1.3799999999999994,-0.21,-0.21,-0.9800000000000003,-0.9800000000000003,-0.78,-0.78,-0.72,-0.72,-0.78,-0.78
hk-kappa1,0.23162100000000008,0.3480569999999999,0.00017499999999999994,0.050851999999999994,0.443274,0.505725,0.161141,0.27420700000000003,0.14814799999999997,0.25,0.6640750000000003,0.6709210000000001,0.042409000000000016,0.138474,1.312018,1.3506519999999997,0.00040000000000000013,0.073424,0.12000000000000005,0.21301799999999999,0.073424,0.17946399999999996,0.0,0.040816000000000005,2.399999999999999,0.6716049999999998,2.096777,2.051423,2.0538519999999996,1.4923630000000008,1.0500140000000004,1.1276910000000002,0.7384310000000002,0.83817,0.534682,0.641394,0.83817,0.9420020000000005
hk-kappa2,1.6700000000000004,1.0445320000000002,-27.040000000000006,0.9600000000000004,1.4699999999999998,0.8748579999999998,0.49000000000000016,1.4899999999999995,0.22222199999999995,0.4800000000000002,1.8599999999999997,1.2096500000000001,0.7400000000000001,1.7399999999999995,1.7349670000000001,1.948262,-27.040000000000006,0.9600000000000004,2.0,1.3333329999999999,0.9600000000000004,1.9600000000000006,0.0,0.0,1.3999999999999997,0.8166670000000001,2.2593339999999995,2.4731969999999994,1.148423,0.8800159999999999,1.6461960000000002,1.8646220000000002,1.6057689999999998,1.7832860000000004,0.9307990000000002,1.167541,1.7832860000000004,1.9937450000000003
hk-kappa3,1.6700000000000004,6.883958000000002,-104.03999999999998,-27.040000000000006,1.4699999999999998,1.1560090000000005,-4.470784000000001,1.4899999999999995,0.0,0.22222199999999995,1.8599999999999997,70.18653100000002,-6.106154000000002,1.7399999999999995,0.9995770000000004,1.0594029999999999,-104.03999999999998,-27.040000000000006,0.0,0.0,-27.040000000000006,1.9600000000000006,0.0,0.0,1.3999999999999997,0.6222219999999999,1.2528320000000004,1.3128400000000002,25.331950000000003,275.36369599999995,0.9290590000000002,0.9971089999999999,0.582399,1.0382639999999999,0.293364,0.4323389999999998,1.0382639999999999,1.0935369999999995
