,terminal_group_1,terminal_group_2,terminal_group_3,backbone,COF,MR-mean,MR-min,asphericity-mean,asphericity-min,balabanj-mean,balabanj-min,bertzct-mean,bertzct-min,chainlength,chi0-mean,chi0-min,chi0n-mean,chi0n-min,chi0v-mean,chi0v-min,chi1-mean,chi1-min,chi1n-mean,chi1n-min,chi1v-mean,chi1v-min,chi2n-mean,chi2n-min,chi2v-mean,chi2v-min,chi3n-mean,chi3n-min,chi3v-mean,chi3v-min,chi4n-mean,chi4n-min,chi4v-mean,chi4v-min,e-valence-mean,e-valence-min,eccentricity-mean,eccentricity-min,frac-1,frac-2,hbonds,hk-alpha-mean,hk-alpha-min,hk-kappa1-mean,hk-kappa1-min,hk-kappa2-mean,hk-kappa2-min,hk-kappa3-mean,hk-kappa3-min,intercept,ipc-mean,ipc-min,isf-mean,isf-min,labuteASA-mean,labuteASA-min,logP-mean,logP-min,molwt-hvy-mean,molwt-hvy-min,molwt-mean,molwt-min,nheavy-mean,nheavy-min,npr1-mean,npr1-min,npr2-mean,npr2-min,pbf-mean,pbf-min,pmi1-mean,pmi1-min,pmi2-mean,pmi2-min,pmi3-mean,pmi3-min,rbonds-mean,rbonds-min,rg-mean,rg-min,rpc+-mean,rpc+-min,rpc--mean,rpc--min,spherocity-mean,spherocity-min,tpsa-mean,tpsa-min,vsa+-mean,vsa+-min,vsa--mean,vsa--min,vsa-fhyd-mean,vsa-fhyd-min,vsa-fneg-mean,vsa-fneg-min,vsa-fpneg-mean,vsa-fpneg-min,vsa-fpos-mean,vsa-fpos-min,vsa-fppos-mean,vsa-fppos-min,vsa-hyd-mean,vsa-hyd-min,vsa-polar+-mean,vsa-polar+-min,vsa-polar--mean,vsa-polar--min,vsa-polar-mean,vsa-polar-min
3397,isopropyl,perfluoromethyl,cyano,alkylsilane,0.08699362193333332,13.70375,11.287,0.6454919525,0.29103303199999997,4.167146499999999,3.552734,96.16302850000001,75.774438,17,7.3535535,5.207107,6.507080249999999,4.447214,1.7570802500000002,1.447214,3.5303300000000006,2.56066,3.00354025,1.973607,0.62854025,0.4736070000000001,0.27409125,0.111803,0.27409125,0.111803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,16.0,0.9518111445,0.9036222890000001,0.5,0.5,0.0,-0.3075,-0.51,0.6240335,0.161141,1.03210575,0.49,4.097595500000001,-4.470784,0.33995215360000003,89.429041,12.164797,1640.9809141505,0.030041653999999997,30.28071525,23.711683999999998,1.072665,0.52988,51.27950000000001,38.029,56.03750825,41.026548999999996,3.75,3.0,0.201976331,1.6376e-05,0.8581342598,0.7162848955,0.25314183,0.0,17.307905878299998,0.00018712100000000005,33.360765767800004,11.412437724,46.060846908,11.412624869000002,0.0,0.0,0.939609256,0.649821689,0.3660447500000001,0.295557,0.64924475,0.2984895,0.3190047485,0.0,11.895,0.0,16.22870775,15.424026500000002,12.53616575,5.261892,0.94906025,0.8981205,0.39129925,0.23600900000000002,0.0,0.0,0.60870075,0.45341049999999994,0.05093975,0.0,27.22079875,22.295281,1.54407475,0.0,0.0,0.0,0.05093975,0.0
3887,methyl,carboxyl,perfluoromethyl,alkylsilane,0.15538016540000002,12.02895,11.729000000000001,0.256149081,0.190442224,3.9711385000000003,3.921885,72.80774575,67.509775,17,6.94611425,6.892228499999999,5.77107075,5.133893,1.77107075,1.4082485,3.307845,3.25,2.61259775,2.3169470000000003,0.6355354999999999,0.454124,0.32074375,0.14372849999999998,0.32074375,0.14372849999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,19.0,0.7430160572000001,0.6402761825000001,0.5,0.5,0.0,-0.2375,-0.265,1.1377445,0.221637,0.9417115,0.735,13.033475,0.735,0.7124752164000001,24.891388249999995,21.306059,0.113338416,0.010815846999999998,29.23298475,26.6502585,1.063575,0.55855,60.5185,40.021,64.52636225,45.0340395,4.0,3.0,0.5402449275,0.5335242920000001,0.7434939822000001,0.555743801,0.39403789899999997,0.304364937,28.252376503,5.113719468,38.827512199000005,24.12054883,61.7415209307,27.152808339499998,0.5,0.0,1.0023213452,0.8057905685000001,0.51871525,0.2874075,0.45558575,0.333333,0.6573936462000001,0.5175278045,9.325,0.0,15.217539499999999,13.294611999999999,12.48740475,11.8035645,0.74508675,0.6939325,0.4610815,0.434527,0.08758424999999999,0.0,0.5389185000000001,0.5123639999999999,0.16732899999999998,0.130899,20.29083225,16.446251500000002,4.93827575,3.7002525,2.47583625,0.0,0.25491325,0.203759
1505,cyclopropyl,ethylene,carboxyl,alkylsilane,0.11627431846666665,15.22215,13.3098,0.489736865,0.33653146300000003,3.7842517500000006,3.7451255,128.17997875,94.701658,17,7.80590375,6.784457000000001,7.2832485,5.816497000000001,1.7832485,1.75,3.95420475,3.48138,3.4082485000000005,2.566497,0.7041239999999999,0.6582479999999999,0.3312285,0.287457,0.3312285,0.287457,0.0625,0.0,0.0625,0.0,0.0078125,0.0,0.0078125,0.0,22.5,21.0,0.9371447498000002,0.8838820865000001,0.5,0.5,0.0,-0.33,-0.53,0.26927625,0.0952785,0.9755555,0.48111099999999996,-0.7915385,-3.053077,0.7189182920333334,93.95578374999998,35.647376,0.1285891263,0.12620248,31.70259175,29.766501,0.6976,0.09090000000000002,49.02925,42.0385,54.537952000000004,49.054775,3.75,3.5,0.2682673568,0.137858338,0.8065947717,0.7309931854999999,0.23606665300000004,0.15909481,10.566551428,7.01852079,32.9156790602,20.8805181205,40.391592945,29.834249784,1.0,1.0,0.9974766808,0.9375978384999999,0.2978705,0.187593,0.50833975,0.3610025,0.22832622649999998,0.078576664,18.65,0.0,13.979991500000002,9.595310000000001,16.18334825,9.903345,0.6939325,0.387865,0.52563425,0.35033699999999995,0.17516849999999998,0.0,0.47436575,0.2990685,0.130899,0.0,21.51141475,10.964167999999999,3.7002525,0.0,4.9516725,0.0,0.3060675,0.0
7,acetyl,acetyl,perfluoromethyl,alkylsilane,0.15006056125999995,14.041999999999998,11.729000000000001,0.37856377,0.190442224,4.2096915,4.020392,95.7810715,67.509775,17,7.788675,7.0,6.5210705,5.133893,2.0210705,1.908248,3.7023504999999997,3.25,3.0105355,2.3169470000000003,0.7605354999999999,0.704124,0.4134415,0.329124,0.4134415,0.329124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,24.0,0.9152147155,0.8457559320000001,0.5,0.5,0.0,-0.27,-0.33,1.1427365,0.231621,1.4092115,1.148423,13.500975,1.67,0.67676176746,42.4429335,21.306059,0.052915971500000006,0.010815847,32.9380955,31.815711,1.08195,0.5953,66.524,52.032,71.030275,58.04186500000001,4.5,4.0,0.353817146,0.17411,0.7217539685000001,0.555743801,0.3885380935,0.29336532600000004,30.377753175,9.364472812,50.665366246000005,47.796256924,75.0807392505,53.831244979,1.0,0.0,1.1606025455,1.122352969,0.5771900000000001,0.404357,0.6475734999999999,0.333333,0.5813194965,0.3653795050000001,8.535,0.0,15.574131499999998,14.007796000000004,15.834782999999998,13.171245000000004,0.8243725000000001,0.796241,0.5017995,0.43452700000000005,0.07374800000000001,0.0,0.4982005,0.4309279999999999,0.10187949999999997,0.0,25.9234965,24.135413,3.0881495,0.0,2.3972685,0.0,0.17562750000000002,0.14749600000000002
277,acetyl,phenol,cyclopropyl,alkylsilane,0.13942991410000002,21.4987,18.398,0.285480397,0.107669877,3.56331975,3.090735,228.39973125,197.587975,17,10.3121395,10.0,9.954124,9.908248,2.454124,2.0,5.342033,5.0,4.891624,4.783248,1.164562,1.0,0.695812,0.625,0.695812,0.625,0.2755155,0.25,0.2755155,0.25,0.09088275,0.03125,0.09088275,0.03125,28.5,24.0,0.8757204298000001,0.7833539970000002,0.5,0.5,0.0,-0.3275,-0.655,0.3944827500000001,0.148148,0.94016,0.22222199999999998,0.64976475,0.0,0.6934070420999999,664.4365585,254.45807200000002,0.0386583398,0.025785191,42.52837825,38.06801,1.28213,1.14796,62.049,48.044,69.556145,56.0626,5.0,4.0,0.4311985375,0.24084896200000006,0.7150811765,0.637791004,0.41591218,0.20575701899999999,36.3703303712,24.737038525,73.7289497855,25.38398518,103.7845636353,39.799322957,1.5,1.0,1.2304272772,1.033636924,0.270997,0.144378,0.5603042500000001,0.300983,0.4750000230000001,0.193848478,9.325,0.0,13.178988499999996,10.966068,27.793886999999998,25.4917,0.93516275,0.8703255,0.6701447500000001,0.6410775,0.058717749999999985,0.0,0.32985525,0.300788,0.0061195,0.0,38.13923925,36.457768,0.35779999999999995,0.0,2.47583625,0.0,0.06483725,0.0
4244,nitro,cyano,difluoromethyl,alkylsilane,0.1296474841666667,11.89035,11.678000000000004,0.7113497105000001,0.547042121,3.8461589999999997,3.671926000000001,73.809865,67.01955,17,6.32111425,5.642228499999999,5.180695500000001,4.605462,1.6806955000000001,1.6054620000000002,3.001009,2.752018,2.3295725,2.031181,0.5795724999999999,0.531181,0.22243375,0.1844565,0.22243375,0.1844565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,0.9904082262,0.982916203,0.5,0.5,0.0,-0.3475,-0.555,0.97232275,0.664075,1.4025,0.945,0.162304,-1.535392,0.5867211279000001,17.96577025,14.6254815,820.5798233233,0.083624476,27.3572785,25.659410999999995,0.7413949999999999,0.21139000000000005,55.02025,48.0225,58.52478525,51.0214635,3.75,3.5,0.11477742199999999,0.045638028,0.9141390495,0.8739161270000001,0.1912630955,0.0,6.2672774780000005,2.0736990090000003,38.053354426,26.376266625,42.67558000879999,28.4499656365,0.75,0.5,0.9414518632,0.8220785525000002,0.44223775,0.3309075,0.6229015,0.495803,0.39204741649999997,0.0,16.7325,0.0,14.20346625,11.884530999999999,11.6604135,7.688105,0.627346,0.448262,0.43984025,0.3115745,0.2563365,0.19357,0.56015975,0.43189399999999994,0.116318,0.0,15.74413725,12.334927,3.2007479999999995,0.0,6.918994500000001,5.0571589999999995,0.372654,0.19357
4919,perfluoromethyl,carboxyl,isopropyl,alkylsilane,0.13868541666666664,16.5157,12.5194,0.4041580428,0.39162384,4.7323055,3.921885,123.34958975,81.1057165,17,9.44611425,6.892228499999999,8.737597500000001,5.475194999999999,1.9875975,1.975195,4.5578449999999995,3.3656899999999994,4.095861,2.441722,0.7437987500000002,0.7375975,0.383804,0.375,0.383804,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,0.9397851592,0.9180816725,0.5,0.5,0.0,-0.185,-0.37,0.6842815,0.12,1.65460575,1.3092115,6.700487499999999,0.0,0.4670163193,170.27861425,28.4767175,0.0588883122,0.049267461000000005,36.337444,30.791106,1.246025,0.8297500000000001,58.281000000000006,48.044,65.04907850000001,58.07825,4.25,4.0,0.3050197975,0.27434828,0.7978980347999999,0.7189700795,0.4251296472000001,0.32140283550000004,23.522496448500004,17.840215733,53.1631849195,49.242657783999995,69.363744593,65.087904372,0.25,0.0,1.1940226731999999,1.1281038225,0.35106375,0.12304200000000001,0.3790755000000001,0.263646,0.458338791,0.437918076,9.325,0.0,15.730078,13.707586,18.993464499999998,11.537295,0.7960265000000001,0.5920529999999999,0.525542,0.3924320000000001,0.08758424999999999,0.0,0.474458,0.341348,0.11638925,0.0,28.85350525,17.5497905,3.394201,0.0,2.47583625,0.0,0.2039735,0.0
2260,ethylene,isopropyl,nitro,alkylsilane,0.12988496289999998,15.55495,12.9184,0.6149360858,0.4785084445,4.3811195,3.791118,115.54348275,85.425922,17,7.95235025,6.07735,7.256855000000001,4.76371,1.7568549999999998,1.75,3.87270275,2.943376,3.3568775,2.088755,0.6068775,0.588755,0.25355500000000003,0.25,0.25355500000000003,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,0.984374955,0.972949411,0.5,0.5,0.0,-0.365,-0.6000000000000001,1.24060225,0.0812045,1.385,1.37,-0.8265385000000001,-3.053077,0.7710286692000001,99.0807885,17.086166,0.18148730079999997,0.14271690750000002,31.57685325,27.607138,0.6601,-0.1071,50.02725,42.0385,55.539489,50.0626,3.75,3.5,0.15816806949999998,0.09125968,0.8796254992,0.8505106785000001,0.1322165275,0.0,7.4066907835,4.147210897,39.035238541999995,36.730381558000005,43.9829234477,42.4785404915,0.75,0.5,1.0225427772,0.994335416,0.2715915,0.176925,0.421167,0.342334,0.119689879,0.0,21.57,0.0,13.488741500000001,10.966069000000001,16.52831825,10.114317999999999,0.8064300000000001,0.6128600000000001,0.53389575,0.38714,0.19357,0.0,0.46610425,0.31934850000000004,0.0,0.0,24.95990075,16.011414000000002,0.0,0.0,5.0571589999999995,0.0,0.19357,0.0
2547,fluorophenyl,difluoromethyl,perfluoromethyl,alkylsilane,0.14766274240000002,16.56825,11.729000000000001,0.3230871085,0.190442224,3.935478,3.850564,145.453608,67.509775,17,8.241025500000001,7.0,6.72541975,5.133893,2.47541975,2.133893,4.1063565,3.25,3.17521,2.3169470000000003,1.05021,0.816947,0.61122775,0.497759,0.61122775,0.497759,0.14862275,0.0,0.14862275,0.0,0.0743115,0.0,0.0743115,0.0,33.0,32.0,0.9067047429999999,0.845755932,0.5,0.5,0.0,-0.35250000000000004,-0.495,1.52094925,0.9880465,1.47295325,1.148423,13.380869249999998,1.4297885000000001,0.7713680716666667,324.9389,21.306059,0.0283153152,0.010815846999999998,37.6208105,31.815711000000004,1.63568,1.5686,81.78125,81.016,86.02966375,84.01868499999999,5.5,5.0,0.388943059,0.244361826,0.6701492232,0.555743801,0.3374886725,0.191266484,50.030603437799996,48.67017333750001,88.7450871448,53.534475568000005,133.6555268407,96.33023352200001,0.5,0.0,1.2951944895,1.1988521220000001,0.5797185,0.409414,0.4024755,0.333333,0.5946534522,0.39204741649999997,0.0,0.0,15.394499,13.648531,20.737661499999998,13.171245,0.74072075,0.6852005,0.5409575,0.434527,0.09924099999999997,0.0,0.4590425,0.352612,0.1600385,0.116318,28.15082575,24.135413,4.6885235,3.2007479999999995,3.29281125,0.0,0.25927925,0.203759
6170,pyrrole,toluene,cyclopropyl,alkylsilane,0.14276814355,24.560425,18.398,0.20450673149999998,0.107669877,3.358879,3.090735,277.85635475,197.587975,17,11.21271325,10.0,10.9868035,10.0,2.7368035,2.0,5.9128735,5.0,5.47360675,5.0,1.3618035,1.0,0.8305535,0.625,0.8305535,0.625,0.382377,0.25,0.382377,0.25,0.14348875,0.03125,0.14348875,0.03125,30.5,24.0,0.8477491962,0.7833539970000001,0.5,0.5,0.0,-0.375,-0.75,0.417287,0.148148,0.78963225,0.22222199999999998,0.332907,0.0,0.31084642030000004,1178.6778035,254.45807200000002,0.017306646499999998,0.008828101999999999,46.811341999999996,38.06801,1.6147900000000002,1.4163,66.5595,48.044,74.81532475,56.0626,5.5,4.0,0.5102311011999999,0.3989140895,0.6223402725,0.606889541,0.347519966,0.068972591,47.699819045,24.737038525,76.167572889,25.38398518,117.8847890058,39.799322957,1.25,1.0,1.2746578681999998,1.033636924,0.19658825,0.144378,0.37768425,0.300983,0.3936337635,0.031115959,3.9475,0.0,14.2857345,10.966068,30.97437375,25.4917,0.97260375,0.9452075000000001,0.676592,0.653972,0.02739625,0.0,0.323408,0.300788,0.0,0.0,44.0158575,36.457768,0.0,0.0,1.24425075,0.0,0.02739625,0.0
